iter	Passed	Remaining
0	52	104693
1	93	92957
2	136	90604
3	175	87441
4	216	86377
5	255	84745
6	292	83397
7	329	82079
8	371	82110
9	411	81821
10	452	81852
11	491	81425
12	531	81224
13	571	81132
14	612	81012
15	651	80847
16	691	80684
17	737	81172
18	779	81247
19	825	81703
20	869	81899
21	908	81673
22	947	81409
23	985	81156
24	1025	80994
25	1065	80928
26	1106	80854
27	1149	80953
28	1188	80770
29	1227	80585
30	1269	80642
31	1311	80679
32	1352	80600
33	1390	80393
34	1427	80118
35	1466	80010
36	1505	79879
37	1545	79819
38	1585	79727
39	1624	79623
40	1664	79543
41	1703	79431
42	1741	79280
43	1781	79195
44	1820	79101
45	1862	79131
46	1903	79091
47	1942	78991
48	1984	79003
49	2023	78935
50	2061	78790
51	2100	78684
52	2139	78601
53	2181	78627
54	2219	78486
55	2257	78363
56	2298	78363
57	2337	78272
58	2376	78198
59	2415	78095
60	2452	77960
61	2492	77925
62	2533	77891
63	2571	77798
64	2613	77798
65	2656	77829
66	2695	77752
67	2733	77657
68	2770	77535
69	2809	77465
70	2848	77402
71	2886	77283
72	2926	77252
73	2965	77170
74	3002	77066
75	3042	77020
76	3080	76926
77	3123	76957
78	3167	77020
79	3209	77024
80	3244	76872
81	3286	76878
82	3328	76886
83	3366	76795
84	3408	76799
85	3448	76753
86	3490	76742
87	3527	76648
88	3566	76585
89	3606	76537
90	3644	76444
91	3683	76383
92	3722	76327
93	3762	76282
94	3800	76207
95	3840	76177
96	3882	76168
97	3921	76109
98	3959	76031
99	3997	75949
100	4035	75877
101	4075	75835
102	4115	75788
103	4154	75742
104	4194	75694
105	4233	75642
106	4271	75561
107	4312	75539
108	4355	75561
109	4396	75541
110	4436	75506
111	4477	75476
112	4514	75389
113	4554	75346
114	4594	75306
115	4631	75220
116	4670	75165
117	4708	75089
118	4747	75036
119	4788	75013
120	4826	74956
121	4864	74881
122	4904	74845
123	4944	74812
124	4982	74732
125	5022	74698
126	5061	74650
127	5099	74577
128	5140	74563
129	5180	74518
130	5221	74491
131	5259	74424
132	5299	74391
133	5338	74338
134	5376	74277
135	5413	74200
136	5451	74127
137	5488	74058
138	5529	74028
139	5568	73987
140	5608	73938
141	5648	73907
142	5684	73821
143	5722	73761
144	5762	73723
145	5802	73678
146	5840	73618
147	5879	73572
148	5917	73505
149	5955	73454
150	5997	73443
151	6036	73392
152	6076	73352
153	6114	73289
154	6151	73220
155	6187	73143
156	6226	73086
157	6270	73101
158	6310	73063
159	6348	73003
160	6388	72967
161	6427	72920
162	6464	72854
163	6502	72794
164	6541	72754
165	6578	72680
166	6617	72629
167	6655	72577
168	6694	72534
169	6734	72499
170	6776	72481
171	6816	72450
172	6855	72402
173	6895	72361
174	6934	72318
175	6973	72273
176	7012	72221
177	7053	72196
178	7091	72141
179	7129	72088
180	7168	72041
181	7206	71989
182	7243	71919
183	7289	71940
184	7331	71928
185	7371	71887
186	7409	71837
187	7449	71798
188	7490	71777
189	7530	71739
190	7579	71789
191	7617	71727
192	7655	71671
193	7692	71611
194	7729	71550
195	7769	71514
196	7809	71475
197	7857	71508
198	7897	71474
199	7935	71422
200	7973	71367
201	8012	71323
202	8056	71317
203	8097	71289
204	8141	71287
205	8187	71298
206	8228	71273
207	8268	71234
208	8311	71220
209	8348	71165
210	8383	71085
211	8420	71017
212	8459	70968
213	8497	70920
214	8538	70893
215	8578	70854
216	8618	70817
217	8663	70821
218	8699	70749
219	8738	70704
220	8777	70653
221	8818	70628
222	8858	70588
223	8902	70580
224	8940	70526
225	8976	70464
226	9017	70428
227	9057	70391
228	9096	70352
229	9135	70302
230	9172	70242
231	9209	70182
232	9247	70132
233	9289	70109
234	9334	70106
235	9375	70074
236	9416	70045
237	9455	69999
238	9492	69943
239	9531	69894
240	9570	69849
241	9606	69783
242	9645	69744
243	9687	69716
244	9728	69688
245	9766	69636
246	9805	69588
247	9844	69547
248	9883	69498
249	9920	69446
250	9958	69391
251	9998	69355
252	10038	69314
253	10077	69271
254	10116	69229
255	10155	69185
256	10195	69148
257	10234	69099
258	10275	69071
259	10317	69047
260	10359	69026
261	10404	69021
262	10450	69023
263	10492	68997
264	10535	68976
265	10580	68969
266	10621	68943
267	10661	68904
268	10702	68867
269	10740	68821
270	10780	68780
271	10820	68742
272	10860	68706
273	10908	68712
274	10950	68686
275	10991	68654
276	11032	68624
277	11075	68603
278	11115	68564
279	11153	68512
280	11191	68461
281	11230	68420
282	11267	68362
283	11309	68334
284	11346	68278
285	11388	68249
286	11426	68201
287	11466	68161
288	11505	68115
289	11549	68103
290	11591	68075
291	11636	68063
292	11674	68017
293	11718	67997
294	11757	67953
295	11794	67900
296	11833	67854
297	11876	67831
298	11918	67803
299	11963	67790
300	12007	67779
301	12051	67759
302	12089	67708
303	12130	67673
304	12168	67627
305	12209	67589
306	12247	67543
307	12286	67497
308	12328	67465
309	12367	67420
310	12407	67383
311	12444	67326
312	12483	67281
313	12521	67232
314	12558	67179
315	12598	67139
316	12637	67095
317	12679	67065
318	12720	67033
319	12758	66983
320	12799	66946
321	12836	66892
322	12879	66867
323	12921	66838
324	12965	66822
325	13009	66802
326	13054	66787
327	13100	66780
328	13146	66772
329	13184	66722
330	13223	66676
331	13260	66621
332	13299	66575
333	13334	66513
334	13376	66483
335	13417	66447
336	13457	66409
337	13496	66362
338	13534	66315
339	13573	66272
340	13612	66225
341	13650	66177
342	13687	66124
343	13727	66085
344	13767	66045
345	13812	66026
346	13849	65973
347	13893	65955
348	13932	65911
349	13971	65865
350	14011	65827
351	14048	65770
352	14088	65730
353	14128	65693
354	14167	65649
355	14205	65602
356	14246	65563
357	14289	65540
358	14329	65502
359	14370	65465
360	14410	65427
361	14447	65373
362	14488	65337
363	14528	65298
364	14569	65263
